AMP       OW        RES       TW    
3552      -33.57    0.70      152.4
4350      -35.54    0.83      172.3
4194      -34.22    0.72      165.2
3143      -26.33    0.52      139.6
3798      -33.11    0.56      153.8
2990      -34.25    0.74      126.3
4158      -31.87    0.78      180.9
3903      -38.21    0.81      156.9
4800      -40.15    0.68      189.5
3687      -36.02    0.63      144.7
4221      -29.45    0.79      162.8
3415      -32.19    0.61      134.6
4023      -37.34    0.77      158.4
3598      -28.87    0.58      147.2
4387      -33.78    0.75      176.5
3656      -39.12    0.69      141.8
3265      -31.56    0.67      129.7
4042      -34.87    0.73      167.3
3790      -35.92    0.71      154.6
